Reference,Name,Height (m),Longitude,Latitude,Maidenhead Locator,valid from,valid to,deleted,Activations,last activated by,last date,
DA/AL-019,"Aelpelekopf",2023,10.45470047,47.43889999,JN57FK,20120401,20991231,0,0,,
DA/AL-020,"Knappenkopf",2071,10.47309971,47.44309998,JN57FK,20120401,20991231,0,0,,
DA/AL-021,"Iseler",1862,10.41969967,47.49940109,JN57FL,20120401,20991231,0,0,,
DA/AL-022,"Wildengundkopf",2238,10.29189968,47.31280136,JN57DH,20120401,20991231,0,0,,
DA/AL-023,"Schmalhorn",1952,10.28750038,47.33390045,JN57DI,20120401,20991231,0,0,,
DA/AL-024,"Vorderer Wildgundkopf",1935,10.28559971,47.34640121,JN57DI,20120401,20991231,0,0,,
DA/AL-025,"Seilhenker",1794,10.36170006,47.37080002,JN57EI,20120401,20991231,0,0,,
DA/AL-026,"Huettenkopf",1949,10.33419991,47.37419891,JN57EI,20120401,20991231,0,0,,
DA/AL-027,"Hahnenkopf",1735,10.32439995,47.37919998,JN57DJ,20120401,20991231,0,0,,
DA/AL-028,"Himmelhorn",2114,10.37609959,47.38190079,JN57EJ,20120401,20991231,0,0,,
DA/AL-029,"Rotkopf",2182,10.38080025,47.39080048,JN57EJ,20120401,20991231,0,0,,
DA/AL-030,"Laufbacher Eck",2178,10.38080025,47.39329910,JN57EJ,20120401,20991231,0,0,,
DA/AL-031,"Salober",2088,10.38780022,47.39780045,JN57EJ,20120401,20991231,0,0,,
DA/AL-032,"Berggaechtle",2006,10.39420033,47.40750122,JN57EJ,20120401,20991231,0,0,,
DA/AL-033,"Giebel",1949,10.39890003,47.41310120,JN57EJ,20120401,20991231,0,0,,
DA/AL-034,"Grosser Seekopf",2084,10.35439968,47.40579987,JN57EJ,20120401,20991231,0,0,,
DA/AL-035,"Kleiner Seekopf",2095,10.35639954,47.40140152,JN57EJ,20120401,20991231,0,1,DF3MC/P,03/10/2014
DA/AL-036,"Zeiger",1994,10.35079956,47.41030121,JN57EJ,20120401,20991231,0,1,DF3MC/P,03/10/2014
DA/AL-037,"Nebelhorn",2225,10.34220028,47.42190170,JN57EK,20120401,20991231,0,3,DF3TS,16/04/2022
DA/AL-038,"Gundkopf",2200,10.33580017,47.42169952,JN57EK,20120401,20991231,0,0,,
DA/AL-039,"Rubihorn",1957,10.31389999,47.42470169,JN57DK,20120401,20991231,0,0,,
DA/AL-040,"Kleiner Daumen",2191,10.38609982,47.44689941,JN57EK,20120401,20991231,0,0,,
DA/AL-041,"Breitenberg",1887,10.38249969,47.47000122,JN57EL,20120401,20991231,0,0,,
DA/AL-042,"Heidelbeerkopf",1767,10.32970047,47.45470047,JN57DK,20120401,20991231,0,0,,
DA/AL-043,"Sonnenkopf",1713,10.32999992,47.45859909,JN57DL,20120401,20991231,0,0,,
DA/AL-044,"Gernkopf",1566,10.34280014,47.46939850,JN57EL,20120401,20991231,0,0,,
