wotaid,sotaid,book,name,height,reference,humpid,gridid,x,y,lat,long
65,NULL,W,High Crag,744,NY180140,NULL,IO84IM,318000,514000,54.514641,-3.2681443
66,NULL,FE,The Knott,739,NY437126,NULL,IO84NM,343700,512600,54.505572,-2.8709578
67,21,NW,Robinson,737,NY201168,NULL,IO84JM,320100,516800,54.540134,-3.2364748
68,NULL,C,Harrison Stickle,736,NY281073,NULL,IO84KK,328100,507300,54.455975,-3.1105340
69,22,E,Seat Sandal,736,NY343114,NULL,IO84LL,334300,511400,54.493657,-3.0158319
70,NULL,N,Long Side,734,NY248284,NULL,IO84KP,324800,528400,54.645080,-3.1668236
71,NULL,FE,Kentmere Pike,730,NY465077,NULL,IO84OK,346500,507700,54.461845,-2.8268332
72,NULL,C,Sergeant Man,730,NY286088,NULL,IO84KL,328600,508800,54.469524,-3.1031859
73,NULL,NW,Hindscarth,727,NY215165,NULL,IO84JM,321500,516500,54.537658,-3.2147613
74,NULL,E,Clough Head,726,NY333225,10,IO84LO,333300,522500,54.593264,-3.0337869
75,NULL,C,Ullscarf,726,NY291121,50,IO84KL,329100,512100,54.499245,-3.0962657
76,NULL,C,Thunacar Knott,723,NY279079,NULL,IO84KL,327900,507900,54.461338,-3.1137647
77,NULL,FE,Froswick,720,NY435085,NULL,IO84NL,343500,508500,54.468708,-2.8732604
78,NULL,E,Birkhouse Moor,718,NY363159,NULL,IO84MM,336300,515900,54.534347,-2.9859334
79,NULL,W,Brandreth,715,NY214119,NULL,IO84JL,321400,511900,54.496312,-3.2150786
80,NULL,N,Lonscale Fell,715,NY285271,NULL,IO84KP,328500,527100,54.633938,-3.1091822
81,NULL,FE,Branstree,713,NY478099,7,IO84OL,347800,509900,54.481750,-2.8071701
82,23,N,Knott,710,NY296329,NULL,IO84KQ,329600,532900,54.686206,-3.0935438
83,NULL,C,Pike O'Stickle,709,NY273073,NULL,IO84KK,327300,507300,54.455861,-3.1228710
84,NULL,NW,Whiteside,707,NY170219,NULL,IO84IO,317000,521900,54.585456,-3.2858178
85,NULL,FE,Yoke,706,NY437067,NULL,IO84NK,343700,506700,54.452556,-2.8698317
86,24,S,Pike O'Blisco,705,NY271042,NULL,IO84KK,327100,504200,54.427978,-3.1251912
87,NULL,N,Bowscale Fell,702,NY333305,NULL,IO84LP,333300,530500,54.665146,-3.0356121
88,NULL,S,Cold Pike,701,NY262036,NULL,IO84KK,326200,503600,54.422457,-3.1389113
89,NULL,C,Pavey Ark,700,NY284079,NULL,IO84KL,328400,507900,54.461409,-3.1060530
90,NULL,FE,Gray Crag,699,NY426118,NULL,IO84NL,342600,511800,54.498260,-2.8877871
91,NULL,W,Grey Knotts,697,NY217125,NULL,IO84JM,321700,512500,54.501749,-3.2106072
92,NULL,FE,Rest Dodd,696,NY432137,41,IO84NM,343200,513700,54.515401,-2.8788906
93,25,W,Seatallan,692,NY139084,NULL,IO84IL,313900,508400,54.463647,-3.3298230
94,NULL,W,Caw Fell,690,NY131110,NULL,IO84HL,313100,511000,54.486870,-3.3429265
95,NULL,N,Great Calva,690,NY290311,22,IO84KQ,329000,531100,54.669949,-3.1024105
96,NULL,N,Bannerdale Crags,683,NY336290,NULL,IO84LP,333600,529000,54.651708,-3.0306205
97,NULL,C,Loft Crag,680,NY277071,NULL,IO84KK,327700,507100,54.454121,-3.1166536
98,NULL,N,Ullock Pike,680,NY244287,NULL,IO84JP,324400,528700,54.647715,-3.1730982
99,NULL,E,Sheffield Pike,675,NY369181,NULL,IO84MN,336900,518100,54.554191,-2.9771349
100,NULL,N,Bakestall,673,NY266307,NULL,IO84KP,326600,530700,54.666010,-3.1395151
101,NULL,NW,Scar Crags,672,NY208206,NULL,IO84JN,320800,520600,54.574386,-3.2266827
102,NULL,FE,Loadpot Hill,671,NY456181,NULL,IO84NN,345600,518100,54.555203,-2.8426371
103,NULL,FE,Wether Hill,670,NY455167,NULL,IO84NN,345500,516700,54.542612,-2.8439233
104,26,FE,Tarn Crag (Longsleddale),664,NY488078,NULL,IO84OL,348800,507800,54.462981,-2.7913732
105,NULL,N,Carrock Fell,660,NY341336,NULL,IO84LQ,334100,533600,54.693105,-3.0239123
106,NULL,NW,Whiteless Pike,660,NY180189,NULL,IO84IN,318000,518900,54.558666,-3.2695103
107,NULL,N,High Pike (Caldbeck),658,NY318350,NULL,IO84LQ,331800,535000,54.705378,-3.0599165
108,27,FE,Place Fell,657,NY405169,NULL,IO84MN,340500,516900,54.543845,-2.9212386
109,NULL,E,High Pike (Scandale),656,NY374088,NULL,IO84ML,337400,508800,54.470687,-2.9674280
110,NULL,FE,Selside Pike,655,NY490111,NULL,IO84OL,349000,511100,54.492655,-2.7888587
111,NULL,E,Middle Dodd,654,NY397095,NULL,IO84ML,339700,509500,54.477256,-2.9320874
112,28,S,Harter Fell (Eskdale),653,SD218997,NULL,IO84JJ,321800,499700,54.386757,-3.2056792
113,NULL,NW,High Spy,653,NY234162,34,IO84JM,323400,516200,54.535254,-3.1853250
114,NULL,N,Great Sca Fell,651,NY291338,NULL,IO84KQ,329100,533800,54.694222,-3.1015171
115,NULL,S,Rossett Pike,650,NY249075,NULL,IO84KK,324900,507500,54.457309,-3.1599324
116,NULL,W,Fleetwith Pike,648,NY205141,18,IO84JM,320500,514100,54.515938,-3.2295644
117,NULL,W,Base Brown,646,NY225114,NULL,IO84JL,322500,511400,54.491989,-3.1979675
118,NULL,FE,Grey Crag,638,NY497071,NULL,IO84OK,349700,507100,54.456781,-2.7773710
119,NULL,NW,Causey Pike,637,NY218208,NULL,IO84JN,321800,520800,54.576339,-3.2112706
120,NULL,E,Little Hart Crag,637,NY387100,NULL,IO84ML,338700,510000,54.481629,-2.9476214
121,NULL,N,Mungrisdale Common,633,NY310292,NULL,IO84LP,331000,529200,54.653155,-3.0709563
122,NULL,W,Starling Dodd,633,NY142157,NULL,IO84IM,314200,515700,54.529285,-3.3273202
123,NULL,S,Seathwaite Fell,632,NY229101,NULL,IO84JL,322900,510100,54.480370,-3.1914540
124,NULL,W,Yewbarrow,628,NY173084,53,IO84IL,317300,508400,54.464213,-3.2773840
125,NULL,E,Birks,622,NY381144,NULL,IO84MM,338100,514400,54.521093,-2.9578049
126,NULL,FE,Hartsop Dodd,618,NY412118,NULL,IO84NL,341200,511800,54.498100,-2.9094006
127,NULL,W,Great Borne,616,NY123163,21,IO84HM,312300,516300,54.534349,-3.3568494
128,NULL,E,Heron Pike,612,NY355083,NULL,IO84ML,335500,508300,54.465956,-2.9966310
