"Scheme","DXCC","Reference","Name","Type","Lat","Long","Locator","Roc Code","Historic County","Nearest Postcode","Roc Master_post","Roc Group_hq",""
"UKBOTA","223","B/G-0039","ROC Post Willingham","ROC Bunker","52.26550","0.06710","JO02AG","BED","Cambridgeshire","CB24 3AT","","","🗺️"
"UKBOTA","223","B/G-0040","ROC Post Harston","ROC Bunker","52.12957","0.09090","JO02BD","BED","Cambridgeshire","CB22 7NZ","","","🗺️"
"UKBOTA","223","B/G-0041","ROC Post Sutton Master Post","ROC Bunker","52.38099","0.11584","JO02BJ","NOR","Cambridgeshire","CB6 2PD","true","","🗺️"
"UKBOTA","223","B/G-0042","ROC Post Manea","ROC Bunker","52.47813","0.16895","JO02CL","NOR","Cambridgeshire","PE15 0US","","","🗺️"
"UKBOTA","223","B/G-0043","ROC Post Cherry Hinton Master Post","ROC Bunker","52.16930","0.18109","JO02CE","COL","Cambridgeshire","CB21 5EQ","true","","🗺️"
"UKBOTA","223","B/G-0044","ROC Post Stretham","ROC Bunker","52.35159","0.21884","JO02CI","NOR","Cambridgeshire","CB6 3JH","","","🗺️"
"UKBOTA","223","B/G-0045","ROC Post Linton","ROC Bunker","52.09503","0.26696","JO02DC","COL","Cambridgeshire","CB21 4NW","","","🗺️"
"UKBOTA","223","B/G-0046","ROC Post Bottisham","ROC Bunker","52.23670","0.28311","JO02DF","COL","Cambridgeshire","CB25 0LU","","","🗺️"
"UKBOTA","223","B/G-0047","ROC Post Littleport","ROC Bunker","52.44275","0.29934","JO02DK","NOR","Cambridgeshire","CB6 1HP","","","🗺️"
"UKBOTA","223","B/G-0048","ROC Post Fordham","ROC Bunker","52.37107","0.35041","JO02EI","NOR","Cambridgeshire","CB7 5UG","","","🗺️"
"UKBOTA","223","B/G-0049","ROC Post Caldy","ROC Bunker","53.38110","-3.14535","IO83KJ","NWA","Cheshire","CH48 1PQ","","","🗺️"
"UKBOTA","223","B/G-0050","ROC Post Neston Master Post","ROC Bunker","53.30907","-3.02981","IO83LH","NWA","Cheshire","CH63 4JJ","true","","🗺️"
"UKBOTA","223","B/G-0051","ROC Post Saughall","ROC Bunker","53.21705","-2.95017","IO83MF","NWA","Cheshire","CH1 6AG","","","🗺️"
"UKBOTA","223","B/G-0052","ROC Post Aldford","ROC Bunker","53.12155","-2.87230","IO83NC","NWA","Cheshire","CH3 6HU","","","🗺️"
"UKBOTA","223","B/G-0053","ROC Post Helsby Master Post","ROC Bunker","53.27350","-2.76263","IO83OG","SHR","Cheshire","WA6 9PL","true","","🗺️"
"UKBOTA","223","B/G-0054","ROC Post Malpas","ROC Bunker","53.02644","-2.75513","IO83OA","SHR","Cheshire","SY14 8DQ","","","🗺️"
"UKBOTA","223","B/G-0055","ROC Post Tarporley","ROC Bunker","53.16985","-2.69018","IO83PE","SHR","Cheshire","CW6 0EF","","","🗺️"
"UKBOTA","223","B/G-0056","ROC Post Preston on the Hill","ROC Bunker","53.33226","-2.64565","IO83QH","SHR","Cheshire","WA4 4BS","","","🗺️"
"UKBOTA","223","B/G-0057","ROC Post Faddiley","ROC Bunker","53.07380","-2.61745","IO83QB","SHR","Cheshire","CW5 8JE","","","🗺️"
"UKBOTA","223","B/G-0058","ROC Post Audlem","ROC Bunker","52.99989","-2.50657","IO82RX","SHR","Cheshire","CW3 0HF","","","🗺️"
"UKBOTA","223","B/G-0059","ROC Post Northwich","ROC Bunker","53.24625","-2.49180","IO83SF","SHR","Cheshire","CW9 7NY","","","🗺️"
"UKBOTA","223","B/G-0060","ROC Post Middlewich","ROC Bunker","53.19289","-2.43775","IO83SE","SHR","Cheshire","CW10 0HU","","","🗺️"
"UKBOTA","223","B/G-0061","ROC Post Altrincham","ROC Bunker","53.39516","-2.43050","IO83SJ","SHR","Cheshire","WA13 9UT","","","🗺️"
"UKBOTA","223","B/G-0062","ROC Post Crewe","ROC Bunker","53.06523","-2.41616","IO83TB","SHR","Cheshire","CW2 5LX","","","🗺️"
"UKBOTA","223","B/G-0063","ROC Post Knutsford Master Post","ROC Bunker","53.31138","-2.37908","IO83TH","SHR","Cheshire","WA16 6SZ","true","","🗺️"
"UKBOTA","223","B/G-0064","ROC Post Sandbach","ROC Bunker","53.15532","-2.35467","IO83TD","SHR","Cheshire","CW11 4TE","","","🗺️"
"UKBOTA","223","B/G-0065","ROC Post Macclesfield","ROC Bunker","53.25000","-2.11401","IO83WG","SHR","Cheshire","SK11 7HA","","","🗺️"
"UKBOTA","223","B/G-0066","ROC Post Poynton","ROC Bunker","53.34044","-2.10359","IO83WI","SHR","Cheshire","SK12 1FR","","","🗺️"
"UKBOTA","223","B/G-0067","ROC Post Hyde","ROC Bunker","53.43017","-2.06498","IO83XK","PRE","Cheshire","SK14 3AA","","","🗺️"
"UKBOTA","223","B/G-0068","ROC Post Kilkhampton Master Post","ROC Bunker","50.89375","-4.47822","IO70SV","EXE","Cornwall","EX23 9RJ","true","","🗺️"
"UKBOTA","223","B/G-0069","ROC Post Sennen","ROC Bunker","50.07100","-5.69236","IO70DB","EXE","Cornwall","TR19 7AD","","","🗺️"
"UKBOTA","223","B/G-0070","ROC Post Madron Master Post","ROC Bunker","50.14646","-5.58701","IO70ED","EXE","Cornwall","TR20 8NZ","true","","🗺️"
"UKBOTA","223","B/G-0071","ROC Post St. Ives - Cornwall","ROC Bunker","50.18999","-5.47228","IO70GE","EXE","Cornwall","TR26 3HP","","","🗺️"
"UKBOTA","223","B/G-0072","ROC Post Helston","ROC Bunker","50.09888","-5.28932","IO70IC","EXE","Cornwall","TR13 0FD","","","🗺️"
"UKBOTA","223","B/G-0073","ROC Post Praze-An-Beeble","ROC Bunker","50.18407","-5.26071","IO70IE","EXE","Cornwall","TR14 9JG","","","🗺️"
"UKBOTA","223","B/G-0074","ROC Post The Lizard","ROC Bunker","49.96487","-5.19133","IN79JX","EXE","Cornwall","TR12 7AP","","","🗺️"
"UKBOTA","223","B/G-0075","ROC Post Constantine","ROC Bunker","50.12479","-5.19272","IO70JC","EXE","Cornwall","TR11 5QF","","","🗺️"
"UKBOTA","223","B/G-0076","ROC Post St. Agnes","ROC Bunker","50.29392","-5.19224","IO70JH","EXE","Cornwall","TR5 0PF","","","🗺️"
"UKBOTA","223","B/G-0077","ROC Post Penryn Master Post","ROC Bunker","50.17524","-5.14048","IO70KE","EXE","Cornwall","TR10 9DH","true","","🗺️"
"UKBOTA","223","B/G-0078","ROC Post Truro","ROC Bunker","50.25285","-5.05396","IO70LG","EXE","Cornwall","TR1 2RY","","","🗺️"
"UKBOTA","223","B/G-0079","ROC Post Mitchell","ROC Bunker","50.34340","-5.03475","IO70LI","EXE","Cornwall","TR4 9JD","","","🗺️"
"UKBOTA","223","B/G-0080","ROC Post Newquay","ROC Bunker","50.43493","-5.02948","IO70LK","EXE","Cornwall","TR8 4AW","","","🗺️"
"UKBOTA","223","B/G-0081","ROC Post St Anthony-in-Meneage","ROC Bunker","50.15391","-4.99822","IO70MD","EXE","Cornwall","TR2 5EY","","","🗺️"
"UKBOTA","223","B/G-0082","ROC Post Veryan","ROC Bunker","50.19991","-4.91548","IO70NE","EXE","Cornwall","TR2 5PQ","","","🗺️"
"UKBOTA","223","B/G-0083","ROC Post St. Columb Major Master Post","ROC Bunker","50.42393","-4.92500","IO70MK","EXE","Cornwall","TR9 6JS","true","","🗺️"
"UKBOTA","223","B/G-0084","ROC Post Trebetherick","ROC Bunker","50.58397","-4.90668","IO70NO","EXE","Cornwall","PL27 6QY","","","🗺️"
"UKBOTA","223","B/G-0085","ROC Post Nanpean","ROC Bunker","50.35078","-4.84923","IO70NI","EXE","Cornwall","PL26 7FD","","","🗺️"
"UKBOTA","223","B/G-0086","ROC Post Mevagissey","ROC Bunker","50.24717","-4.79702","IO70OF","EXE","Cornwall","PL26 6NS","","","🗺️"
"UKBOTA","223","B/G-0087","ROC Post Tintagel","ROC Bunker","50.66282","-4.75996","IO70OP","EXE","Cornwall","PL34 0DL","","","🗺️"
"UKBOTA","223","B/G-0088","ROC Post Bodmin","ROC Bunker","50.46479","-4.72403","IO70PL","EXE","Cornwall","PL31 1BH","","","🗺️"
