"UKBOTA Reference","Bunker Name","Type","Area","Latitude","Longitude","OSGR","WAB","Nearest Postcode","Maidenhead"
"B/G-0026","ROC Post Weston Turville","ROC Bunker","Buckinghamshire","51.800162","-0.765553","SP 8522 1200","SP81","HP22 5QY","IO91OT"
"B/G-0027","ROC Post Bletchley","ROC Bunker","Buckinghamshire","51.982248","-0.724443","SP 8770 3230","SP83","MK2 3DS","IO91PX"
"B/G-0028","ROC Post Olney Master Post","ROC Bunker","Buckinghamshire","52.102461","-0.699846","SP 8915 4570","SP84","MK16 9NN","IO92PC"
"B/G-0029","ROC Post Cheddington","ROC Bunker","Buckinghamshire","51.844122","-0.673913","SP 9145 1700","SP91","LU7 0RS","IO91PU"
"B/G-0030","ROC Post Great Missenden","ROC Bunker","Buckinghamshire","51.710224","-0.664805","SP 9235 0212","SP90","HP16 0RW","IO91QR"
"B/G-0031","ROC Post Marlow","ROC Bunker","Buckinghamshire","51.574961","-0.769354","SU 8538 8695","SU88","SL7 1HF","IO91ON"
"B/G-0032","ROC Post Beaconsfield","ROC Bunker","Buckinghamshire","51.595331","-0.666733","SU 9245 8934","SU98","HP9 1XD","IO91PO"
"B/G-0033","ROC Post Parson Drove","ROC Bunker","Cambridgeshire","52.666933","0.038079","TF 3792 0964","TF30","PE13 4LD","JO02AQ"
"B/G-0034","ROC Post Whittlesey","ROC Bunker","Cambridgeshire","52.565741","-0.105608","TL 2850 9812","TL29","PE7 1YZ","IO92WN"
"B/G-0035","ROC Post Caxton","ROC Bunker","Cambridgeshire","52.215574","-0.097268","TL 3009 5919","TL35","CB23 3PG","IO92WF"
"B/G-0036","ROC Post Arrington","ROC Bunker","Cambridgeshire","52.134405","-0.071213","TL 3211 5021","TL35","SG8 0BG","IO92XD"
